Region,State,District,Location,Plant name ,Owner,Sector,Status,Unit,Capacity (MW),Commissioning year,Boiler,Coal Source,Import country,Port,Type plant,Coal Type,Latitude,Longitude,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Southern,Andhra Pradesh,Atchutapuram,Visakhapatman,Atchutapuram,Abhijeet Group,Private,Planned,1,300.0,2020.0,Super-Critical,other,India,Krishnapattanam,Coastal,Imported,17.531788,83.004097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,300.0,300.0,300.0,300.0
Southern,Andhra Pradesh,Kadapa,Yerraguntla,Rayalaseema Thermal Power Project Stage I,Andhra Pradesh Power Generation Corporation (APGENCO),State,Operating,1,210.0,1994.0,Sub-Critical,Mahanadi Coal Fields Limited (MCL),India,none,Non-Coastal,Domestic,14.702729,78.457323,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0
Southern,Andhra Pradesh,Kadapa,Yerraguntla,Rayalaseema Thermal Power Project Stage I,Andhra Pradesh Power Generation Corporation (APGENCO),State,Operating,2,210.0,1995.0,Sub-Critical,Mahanadi Coal Fields Limited (MCL),India,none,Non-Coastal,Domestic,14.702729,78.457323,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0
Southern,Andhra Pradesh,Kadapa,Yerraguntla,Rayalaseema Thermal Power Project Stage II,Andhra Pradesh Power Generation Corporation (APGENCO),State,Operating,3,210.0,2007.0,Sub-Critical,Mahanadi Coal Fields Limited (MCL),India,none,Non-Coastal,Domestic,14.702729,78.457323,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0
Southern,Andhra Pradesh,Kadapa,Yerraguntla,Rayalaseema Thermal Power Project Stage II,Andhra Pradesh Power Generation Corporation (APGENCO),State,Operating,4,210.0,2007.0,Sub-Critical,Mahanadi Coal Fields Limited (MCL),India,none,Non-Coastal,Domestic,14.702729,78.457323,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0
Southern,Andhra Pradesh,Kadapa,Yerraguntla,Rayalaseema Thermal Power Project Stage III,Andhra Pradesh Power Generation Corporation (APGENCO),State,Operating,5,210.0,2011.0,Sub-Critical,Mahanadi Coal Fields Limited (MCL),India,none,Non-Coastal,Domestic,14.702729,78.457323,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0
Southern,Andhra Pradesh,Kadapa,Yerraguntla,Rayalaseema Thermal Power Project Stage IV,Andhra Pradesh Power Generation Corporation (APGENCO),State,Construction,6,600.0,2017.0,Sub-Critical,Mahanadi Coal Fields Limited (MCL),Indonesia,none,Non-Coastal,Blended,14.702729,78.457323,0.0,0.0,0.0,0.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0
Southern,Andhra Pradesh,Krishna,"Ibrahimpatnam, Vijayawada",Dr. Narla Tata Rao Thermal Power Station  Expansion,Andhra Pradesh Power Generation Corporation (APGENCO),State,Permitted,8,800.0,2022.0,Super-Critical,other,India,none,Non-Coastal,Domestic,19.5973,80.5382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0,800.0
Southern,Andhra Pradesh,Krishna,"Ibrahimpatnam, Vijayawada",Dr. Narla Tata Rao Thermal Power Station Stage I,Andhra Pradesh Power Generation Corporation (APGENCO),State,Operating,1,210.0,1979.0,Sub-Critical,other,India,none,Non-Coastal,Domestic,19.5973,80.5382,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0
Southern,Andhra Pradesh,Krishna,"Ibrahimpatnam, Vijayawada",Dr. Narla Tata Rao Thermal Power Station Stage I,Andhra Pradesh Power Generation Corporation (APGENCO),State,Operating,2,210.0,1980.0,Sub-Critical,other,India,none,Non-Coastal,Domestic,19.5973,80.5382,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0
Southern,Andhra Pradesh,Krishna,"Ibrahimpatnam, Vijayawada",Dr. Narla Tata Rao Thermal Power Station Stage II,Andhra Pradesh Power Generation Corporation (APGENCO),State,Operating,3,210.0,1989.0,Sub-Critical,other,India,none,Non-Coastal,Domestic,19.5973,80.5382,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0
Southern,Andhra Pradesh,Krishna,"Ibrahimpatnam, Vijayawada",Dr. Narla Tata Rao Thermal Power Station Stage II,Andhra Pradesh Power Generation Corporation (APGENCO),State,Operating,4,210.0,1990.0,Sub-Critical,other,India,none,Non-Coastal,Domestic,19.5973,80.5382,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0
Southern,Andhra Pradesh,Krishna,"Ibrahimpatnam, Vijayawada",Dr. Narla Tata Rao Thermal Power Station Stage III,Andhra Pradesh Power Generation Corporation (APGENCO),State,Operating,5,210.0,1994.0,Sub-Critical,other,India,none,Non-Coastal,Domestic,19.5973,80.5382,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0
Southern,Andhra Pradesh,Krishna,"Ibrahimpatnam, Vijayawada",Dr. Narla Tata Rao Thermal Power Station Stage III,Andhra Pradesh Power Generation Corporation (APGENCO),State,Operating,6,210.0,1995.0,Sub-Critical,other,India,none,Non-Coastal,Domestic,19.5973,80.5382,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0
Southern,Andhra Pradesh,Krishna,"Ibrahimpatnam, Vijayawada",Dr. Narla Tata Rao Thermal Power Station Stage IV,Andhra Pradesh Power Generation Corporation (APGENCO),State,Operating,7,500.0,2009.0,Sub-Critical,other,India,none,Non-Coastal,Domestic,19.5973,80.5382,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
Southern,Andhra Pradesh,Nellore,"Thaminnapatnam Village, Chillakur",Kineta Power Thermal Station,Jindal Group,Private,Permitted,1,660.0,2025.0,Super-Critical,other,India,Krishnapattanam,Coastal,Domestic,14.166667,80.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0
Southern,Andhra Pradesh,Nellore,"Thaminnapatnam Village, Chillakur",Kineta Power Thermal Station,Jindal Group,Private,Permitted,2,660.0,2025.0,Super-Critical,other,India,Krishnapattanam,Coastal,Domestic,14.166667,80.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0
Southern,Andhra Pradesh,Nellore,"Thaminnapatnam Village, Chillakur",Kineta Power Thermal Station,Jindal Group,Private,Permitted,3,660.0,2025.0,Super-Critical,other,India,Krishnapattanam,Coastal,Domestic,14.166667,80.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0
